Just_Date,Part_of_Day,Date,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_AC2(kW),z2_AC3(kW),z2_AC4(kW),z2_AC5(kW),z2_AC6(kW),z2_AC7(kW),z2_AC8(kW),z2_AC9(kW),z2_AC10(kW),z2_AC11(kW),z2_AC12(kW),z2_AC13(kW),z2_AC14(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z3_S1(degC),z3_S1(RH%),z3_S1(lux),z4_AC1(kW),z4_Light(kW),z4_Plug(kW),z4_S1(degC),z4_S1(RH%),z4_S1(lux),temp
2018-07-01,Afternoon,2018-07-01 14:59:30,0.0,0.0113333333333333,0.1495555555555555,29.362507204610957,58.35204610951008,8.752161383285303,0.5615,1.0688055555555556,0.7835833333333333,0.8859166666666667,1.4731666666666667,0.7449444444444444,1.0591666666666666,0.4792222222222222,1.1569444444444446,0.5588333333333334,0.0,0.0,0.0,0.0,0.0,0.0703333333333333,29.41788135593221,64.66562146892656,0.0,0.0572499999999999,0.3064166666666666,30.15622093023256,67.1166569767442,3.0930232558139537,0.0,0.0,0.0,,,,33.81666666666667
2018-07-01,Morning,2018-07-01 08:59:30,0.0,0.0111388888888888,0.1471111111111111,28.70034285714286,59.67754285714285,5.357142857142857,1.0085,1.1690833333333333,0.8818611111111112,1.0154444444444444,0.1944166666666666,1.1789166666666668,0.1346388888888889,0.8586111111111112,0.1483611111111111,1.0046388888888889,0.0,0.0,0.0,0.0,0.0,0.0679444444444444,29.20927927927928,64.2687987987988,0.0,0.074,0.3036388888888889,29.53682719546742,68.6942776203966,3.453257790368272,0.0,0.0,0.0,,,,28.866666666666664
2018-07-01,Night,2018-07-01 11:59:30,0.0,0.011125,0.1488055555555555,28.8827,59.9583,0.0,0.5101805555555556,0.5392638888888889,0.3953888888888889,0.4443749999999999,1.2554444444444444,0.6207222222222223,0.8661944444444444,0.4352638888888889,0.947652777777778,0.5081527777777778,0.0,0.0,0.0,0.0,0.0,0.0677638888888888,29.27218309859155,64.80159154929576,0.0,0.0956944444444444,0.3122638888888889,29.624096045197746,68.65052259887005,0.0,0.0,0.0,0.0,,,,26.616666666666664
2018-07-02,Afternoon,2018-07-02 14:59:30,31.192833333333333,8.805972222222222,3.372333333333333,22.07410714285714,49.18169642857143,76.31845238095238,20.130333333333333,0.4271388888888888,0.1737222222222222,0.2062222222222222,1.2858055555555554,0.6568055555555555,0.8621111111111112,0.40625,0.9793333333333334,0.4842777777777778,0.0,0.0,0.0,0.0,1.8681388888888888,0.6056944444444444,24.57482658959537,69.00442196531792,94.96820809248555,0.7103333333333334,0.5840000000000001,28.366771428571436,57.202828571428576,4.614285714285714,8.302916666666667,2.165083333333333,0.0,,,,30.71666666666667
2018-07-02,Morning,2018-07-02 08:59:30,28.14788888888889,7.351055555555556,2.803972222222222,25.335166666666662,52.60077777777777,70.54722222222222,19.085944444444443,0.8609722222222221,0.5947777777777777,0.6900555555555556,0.1742777777777777,0.6011388888888889,0.1145277777777777,0.3326388888888889,0.1308055555555555,0.3916666666666666,0.0,0.0,0.0,0.0,1.6389444444444443,0.4699722222222222,26.408649425287354,66.67189655172413,76.1235632183908,0.7350833333333333,0.6910833333333333,28.83514124293785,62.18350282485876,5.214689265536723,7.389083333333334,1.9456944444444448,0.0,,,,29.233333333333334
2018-07-02,Night,2018-07-02 11:59:30,2.485305555555556,1.4258194444444443,0.322125,27.53482905982906,58.26166666666667,10.437321937321938,0.5372361111111111,0.1840555555555555,0.0567222222222222,0.0644444444444444,1.2298333333333331,0.6474305555555555,0.8375,0.4651666666666667,0.9276666666666666,0.5348055555555555,0.0,0.0,0.0,0.0,0.1052777777777777,0.0999166666666666,28.919570200573062,64.29842406876791,0.498567335243553,0.2511805555555556,0.3329861111111111,29.515823863636363,64.64207386363636,0.1747159090909091,0.0,0.3183888888888889,0.0,,,,26.55
2018-07-03,Afternoon,2018-07-03 14:59:30,25.607694444444444,8.862888888888888,3.372305555555556,23.27386292834891,49.42330218068536,77.77258566978193,21.59777777777778,0.2418888888888888,0.0016111111111111,0.002,1.3443611111111111,0.5335833333333333,0.9192222222222224,0.2870555555555555,1.0349722222222224,0.3441944444444444,0.0,0.0,0.0,0.0,1.9068611111111111,0.5777777777777777,24.141271676300576,69.7935260115607,103.60404624277456,0.7178888888888889,0.6117222222222222,27.843039772727277,57.549943181818186,4.539772727272728,8.222111111111111,2.13675,0.0,,,,32.483333333333334
2018-07-03,Morning,2018-07-03 08:59:30,23.848333333333333,7.567916666666666,2.792555555555556,24.473888888888887,52.735906432748536,70.09356725146199,19.566111111111116,0.2434444444444444,0.00325,0.004,0.1733611111111111,0.56875,0.1116111111111111,0.3015277777777778,0.1277222222222222,0.3613888888888888,0.0,0.0,0.0,0.0,1.5696666666666668,0.5028611111111111,25.737888563049857,65.43888563049853,82.36950146627566,0.7558611111111111,0.8041944444444444,28.5154748603352,59.75625698324023,4.79608938547486,7.169944444444444,1.9475,0.0,,,,29.150000000000002
2018-07-03,Night,2018-07-03 11:59:30,2.780527777777778,1.4830694444444443,0.4551805555555556,26.424884393063586,54.87400289017341,11.395953757225431,0.5544305555555555,0.1506388888888888,0.0243333333333333,0.0281111111111111,1.236152777777778,0.6587361111111112,0.8383055555555556,0.47,0.9310416666666668,0.5514305555555556,0.0,0.0,0.0,0.0,0.1182083333333333,0.1072916666666666,27.96093123209169,61.76260744985674,13.982808022922637,0.2780555555555555,0.3452222222222222,29.27296453900709,60.45634042553192,0.4581560283687943,0.0,0.2237083333333333,0.0,,,,27.150000000000002
2018-07-04,Afternoon,2018-07-04 14:59:30,24.742,8.898166666666667,3.73575,23.34791907514451,51.97895953757226,81.61849710982659,22.82858333333333,0.4696111111111111,0.2376111111111111,0.2722777777777778,0.7524444444444445,0.5480555555555556,0.4676666666666666,0.3054444444444444,0.5328055555555555,0.3649722222222222,0.0,0.0725833333333333,0.0214722222222222,0.1203888888888888,1.983055555555556,0.6104166666666667,23.945,70.09599999999999,116.83714285714284,0.8399166666666666,0.5778888888888889,28.01054285714286,57.53791428571429,5.311428571428571,8.055055555555557,2.163416666666667,0.0,,,,32.25
